Unicode,Kanji,KLC,Heisig old,Heisig 6th Ed,KLC name
65e5,日,1,12,12,"sun, day, Japan"
4e00,一,2,1,1,one
4e8c,二,3,2,2,two
4e09,三,4,3,3,three
5341,十,5,10,10,ten
56db,四,6,4,4,four
4e94,五,7,5,5,five
516d,六,8,6,6,six
4e03,七,9,7,7,seven
516b,八,10,8,8,eight
4e5d,九,11,9,9,nine
4e38,丸,12,44,44,round
5186,円,13,1811,1952,"circle, yen"
3007,〇,14,,,"zero, circle mark"
4eba,人,15,951,1023,human being
767e,百,16,38,38,hundred
5343,千,17,40,40,thousand
4e07,万,18,64,68,ten thousand
53e3,口,19,11,11,mouth
7530,田,20,14,14,rice field
76ee,目,21,15,15,"eye, item"
5ddd,川,22,127,134,river
6708,月,23,13,13,"moon, month"
660e,明,24,20,20,"bright, clear"
66dc,曜,25,576,618,day of the week
706b,火,26,161,173,fire
6c34,水,27,130,137,water
6728,木,28,195,207,"tree, wood"
91d1,金,29,269,287,"metal, gold, money"
571f,土,30,150,161,soil
672c,本,31,211,224,"basis, book, this"
6771,東,32,504,543,east
5927,大,33,107,112,"big, university"
5c0f,小,34,105,110,small
4e2d,中,35,39,39,"middle, in, China"
751f,生,36,1555,1675,"life, be born, student"
5c71,山,37,768,830,mountain
51fa,出,38,767,829,"go out, put out"
5165,入,39,779,842,"enter, put in"
4e0b,下,40,50,51,down
4e0a,上,41,49,50,up
6b62,止,42,370,396,stop
6b63,正,43,379,405,"right, correct"
8db3,足,44,1279,1372,"foot, suffice"
5b9a,定,45,382,408,fix
624b,手,46,637,687,"hand, performer of an action"
7528,用,47,1181,1265,"employ, things to do"
7121,無,48,1775,1913,"without, nothing"
4e0d,不,49,1217,1302,not
56de,回,50,586,630,"turn round, time"
8a00,言,51,335,357,"say, speech"
820c,舌,52,41,41,tongue
8a71,話,53,344,368,speak
6d3b,活,54,143,154,"active, live"
884c,行,55,873,938,"go, act, line (of print)"
5fc3,心,56,595,639,heart
8033,耳,57,818,881,ear
53c8,又,58,696,752,"again, or"
53d6,取,59,819,882,take
8eab,身,60,1248,1337,"body, one's person, social position"
4f11,休,61,965,1038,rest
4f53,体,62,957,1030,"body, form"
4fe1,信,63,969,1043,"believe, message"
4ed8,付,64,1000,1075,attach
53d7,受,65,735,794,receive
4ee5,以,66,1028,1105,"by means of, to the...of"
7acb,立,67,431,462,"stand, establish"
90e8,部,68,1845,1988,section
500d,倍,69,992,1067,"times, double"
6210,成,70,361,386,"become, achieve"
4ee3,代,71,1005,1080,"replace, generation, charge"
738b,王,72,255,271,king
7389,玉,73,256,272,gem
5b9d,宝,74,257,273,treasure
56fd,国,75,581,624,country
767d,白,76,37,37,white
7687,皇,77,261,279,emperor
5168,全,78,263,281,whole (all)
66f8,書,79,327,349,"write, book"
4e8b,事,80,1156,1240,"affair, abstract thing"
81ea,自,81,36,36,self
8c9d,貝,82,54,56,shellfish
898b,見,83,57,61,see
529b,力,84,858,922,power
5200,刀,85,83,87,sword
5207,切,86,85,89,cut
5203,刃,87,84,88,blade
5206,分,88,781,844,"divide, part, minute"
516c,公,89,784,847,public
5225,別,90,90,94,"separate, another"
9577,長,91,1920,2070,"long, chief (senior)"
7537,男,92,859,923,man
5973,女,93,98,102,woman
5b50,子,94,95,99,child
597d,好,95,99,103,"like, favorable"
5b89,安,96,190,202,"peaceful, inexpensive"
6848,案,97,214,227,proposal (plan)
5b57,字,98,185,197,character
5b66,学,99,324,346,"study, school"
7236,父,100,1274,1366,father
6587,文,101,1725,1861,"writings, letter"
4ea4,交,102,1275,1368,"intercourse, cross (intersect)"
6821,校,103,1278,1371,school
6bcd,母,104,101,105,mother
6bce,毎,105,458,497,every
6d77,海,106,461,500,sea
8005,者,107,1256,1345,person
5de5,工,108,76,80,"manufacture, construction"
5f0f,式,109,353,377,"form, ceremony, formula"
5f10,弐,110,355,379,two (in legal documents)
6b66,武,111,377,403,military
7cf8,糸,112,1333,1431,thread
524d,前,113,290,309,before
5f8c,後,114,1379,1479,after
5348,午,115,568,610,"noon, sign of the horse"
725b,牛,116,245,260,cattle
5e74,年,117,1036,1114,year
4ef6,件,118,959,1032,matter (case)
6761,条,119,298,319,article
5316,化,120,1008,1083,change into
82b1,花,121,1009,1084,flower
5317,北,122,445,480,north
6bd4,比,123,447,482,compare
80cc,背,124,446,481,back
8eca,車,125,286,304,"vehicle (car), wheel"
6c17,気,126,1885,2030,"gas, spirit"
6c7d,汽,127,1886,2031,steam
6027,性,128,1558,1679,"nature, gender"
7551,畑,129,166,178,(cultivated) field
9752,青,130,1534,1654,"blue, green"
9ea6,麦,131,1533,1653,wheat
7d20,素,132,1532,1652,"element, plain (bare)"
6bd2,毒,133,1531,1651,poison
5148,先,134,248,263,ahead of (previous)
6d17,洗,135,249,264,wash
5143,元,136,59,63,origin
5149,光,137,119,125,light
53bb,去,138,750,812,go away
